0086	中国	86
001	美国	1
00852	中国香港	852
00853	中国澳门	853
00886	中国台湾	886
001243	巴哈马	1243
001246	巴巴多斯	1246
001268	安提瓜和巴布达	1268
001345	开曼群岛	1345
001441	百慕大群岛	1441
001473	格林纳达	1473
001649	特克斯群岛和凯科斯群岛	1649
001664	蒙特塞拉特	1664
001784	圣文森特和格林纳丁斯	1784
001787	波多黎各	1787
001809_2	安圭拉岛、圣卢西亚、维尔京群岛（英属）	1809
001869_3	圣基茨和尼维斯	1869
001876	牙买加	1876
0020	埃及	20
00212	摩洛哥	212
00213	阿尔及利亚	213
00216	突尼斯	216
00218	利比亚	218
00220	冈比亚	220
00221	塞内加尔	221
00222	毛里塔尼亚	222
00223	马里	223
00224	几内亚	224
00225	科特迪瓦	225
00226	布基纳法索	226
00228	多哥	228
00229	贝宁	229
00230	毛里求斯	230
00231	利比里亚	231
00232	塞拉利昂	232
00233	加纳	233
00234	尼日利亚	234
00235	乍得	235
00236	中非共和国	236
00238	佛得角	238
00239	圣多美和普林西比	239
00240	赤道几内亚	240
00241	加蓬	241
00242	刚果	242
00244	安哥拉	244
00245	几内亚比绍	245
00248	塞舌尔	248
00249	苏丹	249
00250	卢旺达	250
00252	索马里	252
00253	吉布提	253
00254	肯尼亚	254
00255	坦桑尼亚	255
00256	乌干达	256
00257	布隆迪	257
00258	莫桑比克	258
00260	赞比亚	260
00261	马达加斯加	261
00262	留尼汪岛	262
00263	津巴布韦	263
00264	纳米比亚	264
00265	马拉维	265
00266	莱索托	266
00267	博茨瓦纳	267
00268	斯威士兰	268
00269	科摩罗	269
0027	南非	27
00277	尼日尔	277
00297	喀麦隆、阿鲁巴	297
00298	法罗群岛	298
00299	格陵兰	299
0030	希腊	30
0031	荷兰	31
0032	比利时	32
0033	法国	33
0034	西班牙	34
00350	直布罗陀	350
00351	葡萄牙	351
00352	卢森堡	352
00353	爱尔兰	353
00354	冰岛	354
00355	阿尔巴尼亚	355
00356	马耳他	356
00357	塞浦路斯	357
00358	芬兰	358
00359	保加利亚	359
0036	匈牙利	36
00370	立陶宛	370
00371	拉脱维亚	371
00372	爱沙尼亚	372
00373	萨尔瓦多	373
00374	亚美尼亚	374
00375	白俄罗斯	375
00376	安道尔	376
00377	摩纳哥	377
00378	圣马力诺	378
00380	乌克兰	380
00381	塞尔维亚	381
00382	黑山	382
00385	克罗地亚	385
00386	斯洛文尼亚	386
00387	波斯尼亚和黑塞哥维那	387
00389	马其顿	389
0039	意大利	39
0040	罗马尼亚	40
0041	瑞士	41
004175	列支敦士登	4175
0042	斯洛伐克	42
00420	捷克共和国	420
0043	奥地利	43
0044	英国	44
0045	丹麦	45
0046	瑞典	46
0047	挪威	47
0048	波兰	48
0049	德国	49
00501	伯利兹	501
00502	危地马拉	502
00503	摩尔多瓦	503
00504	洪都拉斯	504
00505	尼加拉瓜	505
00506	哥斯达黎加	506
00507	巴拿马	507
00508	圣皮埃尔岛和密克隆岛	508
00509	海地	509
0051	秘鲁	51
0052	墨西哥	52
0053	古巴	53
0054	阿根廷	54
0055	巴西	55
0056	智利	56
0057	哥伦比亚	57
0058	委内瑞拉	58
00590	瓜德罗普岛	590
00591	玻利维亚	591
00592	圭亚那	592
00593	厄瓜多尔	593
00594	法属圭亚那	594
00595	巴拉圭	595
00596	马提尼克岛	596
00597	苏里南	597
00598	乌拉圭	598
00599	荷属安的列斯群岛	599
0060	马来西亚	60
0061	澳大利亚	61
0062	印度尼西亚	62
0063	菲律宾	63
0064	新西兰	64
0065	新加坡	65
0066	泰国	66
00670	东帝汶 	670
00671	关岛	671
00673	文莱	673
00675	巴布亚新几内亚	675
00676	汤加	676
00677	所罗门群岛	677
00678	瓦努阿图	678
00679	斐济群岛	679
00680	帕劳群岛	680
00682	库克群岛	682
00685	萨摩亚	685
00686	基里巴斯	686
00687	新喀里多尼亚	687
00689	法属波利尼西亚	689
00691	密克罗尼西亚	691
007	俄罗斯	7
0081	日本	81
0082	韩国	82
0084	越南	84
00850	朝鲜	850
00855	柬埔寨	855
00856	老挝	856
00880	孟加拉国	880
0090	土耳其	90
0091	印度	91
0093	阿富汗	93
0094	斯里兰卡	94
0095	缅甸	95
00960	马尔代夫	960
00961	黎巴嫩	961
00962	约旦	962
00963	叙利亚	963
00964	伊拉克	964
00965	科威特	965
00966	沙特阿拉伯	966
00967	也门	967
00968	阿曼	968
00970	巴勒斯坦	970
00971	阿拉伯联合酋长国	971
00972	以色列	972
00973	巴林	973
00974	卡塔尔	974
00975	不丹	975
00976	蒙古	976
00977	尼泊尔	977
0098	伊朗	98
00993	土库曼斯坦	993
00994	阿塞拜疆	994
00995	乔治亚	995
001809_1	多米尼加、多米尼加共和国	1809
001809	特立尼达和多巴哥	1809
00389	前南斯拉夫共和国	389
007_3	哈萨克斯坦	7
007_2	吉尔吉斯斯坦	7
007_1	塔吉克斯坦	7
007_4	乌兹别克斯坦	7
001_1	加拿大	1
